Warehouse_ID,Warehouse_Name,City,State,Daily_Order_Capacity,Region
WH001,Salem Distribution Center 01,Salem,Tamil Nadu,230,Central
WH002,Kochi Distribution Center 02,Kochi,Kerala,623,South
WH003,Hyderabad Distribution Center 03,Hyderabad,Telangana,281,East
WH004,Vijayawada Distribution Center 04,Vijayawada,Andhra Pradesh,544,South
WH005,Chennai Distribution Center 05,Chennai,Tamil Nadu,306,Central
WH006,Pune Distribution Center 06,Pune,Maharashtra,430,East
WH007,Salem Distribution Center 07,Salem,Tamil Nadu,260,South
WH008,Pune Distribution Center 08, Pune ,Maharashtra,530,Central
WH009,Pune Distribution Center 09,Pune,Maharashtra,500,Central
WH010,Coimbatore Distribution Center 10,Coimbatore,Tamil Nadu,436,Central
WH011,Tiruchirappalli Distribution Center 11,Tiruchirappalli,Tamil Nadu,211,Central
WH012,Kolkata Distribution Center 12,Kolkata,West Bengal,378,South
WH013,Vijayawada Distribution Center 13,Vijayawada,Andhra Pradesh,323,West
WH014,Hyderabad Distribution Center 14,Hyderabad,Telangana,354,East
WH015,Mysuru Distribution Center 15,Mysuru,Karnataka,250,South
WH016,Salem Distribution Center 16,Salem,Tamil Nadu,375,West
WH017,Mumbai Distribution Center 17,Mumbai,Maharashtra,303,West
WH018,Mumbai Distribution Center 18,Mumbai,Maharashtra,339,Central
WH019,Kochi Distribution Center 19,Kochi,Kerala,457,West
WH020,Coimbatore Distribution Center 20,Coimbatore,Tamil Nadu,514,West
WH021,Visakhapatnam Distribution Center 21,Visakhapatnam,Andhra Pradesh,457,West
WH022,Nashik Distribution Center 22,Nashik,Maharashtra,250,Central
WH023,Salem Distribution Center 23,Salem,Tamil Nadu,541,West
WH024,Mumbai Distribution Center 24,Mumbai,Maharashtra,645,West
WH025,Mysuru Distribution Center 25,Mysuru,Karnataka,469,West
WH026,Pune Distribution Center 26,Pune,Maharashtra,214,South
WH027,Hyderabad Distribution Center 27,Hyderabad,Telangana,342,West
WH028,Salem Distribution Center 28,Salem,Tamil Nadu,195,Central
WH029,Kolkata Distribution Center 29,kolkata,West Bengal,391,East
WH030,Madurai Distribution Center 30,MADURAI,Tamil Nadu,406,Central
WH031,Hyderabad Distribution Center 31,Hyderabad,Telangana,578,West
WH032,Bengaluru Distribution Center 32,Bengaluru,Karnataka,247,West
WH033,Chennai Distribution Center 33,Chennai,Tamil Nadu,570,Central
WH034,Visakhapatnam Distribution Center 34,Visakhapatnam,Andhra Pradesh,470,West
WH035,Visakhapatnam Distribution Center 35,Visakhapatnam,Andhra Pradesh,298,West
WH036,Mysuru Distribution Center 36,Mysuru,Karnataka,193,Central
WH037,Bengaluru Distribution Center 37,BENGALURU,Karnataka,532,East
WH038,Hyderabad Distribution Center 38,Hyderabad,Telangana,437,East
WH039,Salem Distribution Center 39,Salem,Tamil Nadu,512,Central
WH040,Hyderabad Distribution Center 40,Hyderabad,Telangana,616,East
WH041,Kochi Distribution Center 41,Kochi,Kerala,422,West
WH042,Hyderabad Distribution Center 42, Hyderabad ,Telangana,278,West
WH043,Chennai Distribution Center 43,Chennai,Tamil Nadu,389,South
WH044,Kolkata Distribution Center 44,Kolkata,West Bengal,318,East
WH045,Coimbatore Distribution Center 45,Coimbatore,Tamil Nadu,560,West
WH046,Tiruchirappalli Distribution Center 46,Tiruchirappalli,Tamil Nadu,284,South
WH047,Hyderabad Distribution Center 47,hyderabad,Telangana,404,East
WH048,Salem Distribution Center 48,Salem,Tamil Nadu,346,East
WH049,Kolkata Distribution Center 49,Kolkata,West Bengal,306,East
WH050,Mumbai Distribution Center 50,Mumbai,Maharashtra,577,South
