Order_ID,Customer_ID,Warehouse_ID,Delivery_Partner_ID,Order_Date,Order_Dispatched_Date,Promised_Delivery_Date,Actual_Delivery_Date,Distance_KM,Order_Value,Freight_Cost,Packaging_Cost,Warehouse_Handling_Cost,Delivery_Partner_Cost,Order_Status
ORD00001,CUST1506,WH039,DP049,2024-09-30,2024-10-02,2024-10-04,2024-10-06,4.7,1306.88,80.57,42.97,45.62,59.85,delivered
ORD00002,CUST1067,WH003,DP014,2024-02-12,2024-02-13,2024-02-15,2024-02-14,14.8,1911.77,112.14,31.42,73.76,138.35,Delivered
ORD00003,CUST0794,WH036,DP067,2024-01-15,2024-01-17,2024-01-18,2024-01-18,7.7,821.52,80.81,44.9,82.57,71.64,Delivered
ORD00004,CUST0866,WH011,DP038,2024-08-09,2024-08-10,2024-08-12,2024-08-13,1.0,1849.56,42.58,38.36,23.55,38.57,Delivered
ORD00005,CUST0369,WH008,DP100,2025-03-22,2025-03-22,2025-03-23,2025-03-24,8.7,729.0,102.27,37.17,78.13,74.78,Delivered
ORD00006,CUST1835,WH046,DP026,2024-11-28,2024-11-29,2024-12-01,2024-11-30,7.4,1523.47,83.99,49.95,25.86,76.4,Delivered
ORD00007,CUST0234,WH006,DP091,2025-03-08,2025-03-09,2025-03-10,2025-03-10,13.3,825.93,136.33,31.32,43.59,95.33,Delivered
ORD00008,CUST0780,WH036,DP006,2024-02-17,2024-02-19,2024-02-20,2024-02-22,7.5,1846.58,93.71,45.04,79.3,77.29,Delivered
ORD00009,CUST0106,WH046,DP054,2025-05-14,2025-05-16,2025-05-17,2025-05-16,5.1,1003.28,85.0,25.25,67.46,56.19,Delivered
ORD00010,CUST1568,WH040,DP033,2024-01-25,2024-01-26,2024-01-27,2024-01-28,10.2,1358.51,111.43,12.52,52.35,98.54,Delivered
ORD00011,CUST0975,WH043,DP059,2024-08-15,2024-08-17,2024-08-20,2024-08-22,57.3,2114.35,493.43,29.64,25.16,262.99,Delivered
ORD00012,CUST0101,WH014,DP024,2025-12-09,2025-12-11,2025-12-12,2025-12-12,14.2,1781.07,108.61,18.38,62.46,126.1,Delivered
ORD00013,CUST0101,WH006,DP014,2024-03-05,2024-03-06,2024-03-08,2024-03-08,5.2,459.06,78.47,29.93,31.59,63.31,Delivered
ORD00014,CUST1535,WH030,DP075,2025-08-27,2025-08-29,2025-08-30,2025-09-01,3.7,675.65,67.72,27.49,22.33,50.88,Delivered
ORD00015,CUST0133,WH036,DP038,2024-04-12,2024-04-13,2024-04-14,2024-04-15,18.1,1786.94,203.28,32.25,27.93,113.13,Delivered
ORD00016,CUST0224,WH004,DP074,2025-07-16,2025-07-18,2025-07-20,2025-07-20,10.4,778.28,138.33,43.38,60.88,86.32,Delivered
ORD00017,CUST1247,WH028,DP041,2025-09-22,2025-09-23,2025-09-25,2025-09-26,3.1,2007.82,60.16,23.17,57.38,55.8,Delivered
ORD00018,CUST1009,WH032,DP024,2024-08-14,2024-08-15,2024-08-16,2024-08-17,25.9,669.13,202.12,50.0,35.13,132.75,Delivered
ORD00019,CUST1638,WH014,DP079,2025-10-09,2025-10-09,2025-10-10,2025-10-11,5.1,1051.85,69.01,54.96,46.91,61.73,Delivered
ORD00020,CUST0522,WH019,DP009,2025-07-09,2025-07-10,2025-07-12,2025-07-13,30.8,1320.81,238.88,25.23,52.93,128.16,Delivered
ORD00021,CUST1967,WH040,DP004,2025-01-16,2025-01-17,2025-01-18,2025-01-19,8.9,1060.53,116.61,47.78,32.61,94.53,Delivered
ORD00022,CUST0987,WH009,DP020,2024-01-23,2024-01-24,2024-01-26,2024-01-25,3.4,1945.69,61.13,38.97,77.98,49.76,Delivered
ORD00023,CUST0614,WH034,DP073,2025-10-24,2025-10-26,2025-10-27,2025-10-26,8.0,481.89,96.44,43.17,40.51,65.66,Delivered
ORD00024,CUST0575,WH010,DP004,2024-06-15,2024-06-16,2024-06-17,2024-06-19,10.3,867.16,114.02,26.58,44.39,72.74,Delivered
ORD00025,CUST0632,WH049,DP091,2025-11-10,2025-11-11,2025-11-12,2025-11-12,17.2,2073.52,144.35,48.89,66.14,92.57,Delivered
ORD00026,CUST0620,WH034,DP023,2025-08-09,2025-08-09,2025-08-10,2025-08-11,28.8,1207.8,291.0,16.83,71.02,226.62,Delivered
ORD00027,CUST0390,WH010,DP044,2024-08-20,2024-08-22,2024-08-24,2024-08-25,10.0,895.78,111.18,51.72,67.61,96.02,Delivered
ORD00028,CUST0421,WH009,DP093,2025-08-20,2025-08-20,2025-08-22,2025-08-24,1.0,1326.15,44.32,13.57,45.19,38.46,Delivered
ORD00029,CUST0683,WH006,DP060,2024-03-28,2024-03-30,2024-04-01,2024-04-01,16.6,1000.91,181.59,50.23,26.7,134.3,Delivered
ORD00030,CUST0411,WH021,DP025,2025-01-13,2025-01-14,2025-01-15,2025-01-14,5.5,2373.63,83.75,24.32,54.6,66.26,Delivered
ORD00031,CUST1147,WH040,DP066,2025-12-03,,2025-12-05,,12.0,436.84,127.96,16.4,55.26,84.01,Cancelled
ORD00032,CUST0146,WH011,DP040,2024-07-26,2024-07-28,2024-07-29,2024-07-29,13.1,864.43,129.56,38.37,42.02,81.12,Delivered
ORD00033,CUST0177,WH004,DP055,2024-02-07,2024-02-08,2024-02-09,2024-02-09,16.9,951.02,194.81,28.85,65.8,128.25,Delivered
ORD00034,CUST1675,WH022,DP026,2024-04-15,2024-04-16,2024-04-17,2024-04-16,15.4,1092.19,153.08,42.65,63.61,141.18,Delivered
ORD00035,CUST0960,WH045,DP013,2025-05-05,2025-05-06,2025-05-08,2025-05-08,6.5,1677.78,90.58,31.59,64.49,66.6,Delivered
ORD00036,CUST0803,WH024,DP024,2024-09-25,2024-09-25,2024-09-26,2024-09-25,29.4,2358.5,297.95,42.08,63.24,226.97,Delivered
ORD00037,CUST0981,WH023,DP060,2024-03-06,2024-03-07,2024-03-09,2024-03-11,8.3,1822.09,90.97,48.37,38.35,78.98,Delivered
ORD00038,CUST0668,WH007,DP072,2024-01-30,2024-02-01,2024-02-03,2024-02-04,34.5,1773.08,299.4,39.93,71.51,193.81,Delivered
ORD00039,CUST0787,WH031,DP009,2025-01-08,2025-01-10,2025-01-12,2025-01-13,18.9,559.71,185.35,26.65,72.9,150.99,Delivered
ORD00040,CUST0355,WH016,DP085,2025-05-19,2025-05-20,2025-05-21,2025-05-22,18.5,1003.74,193.35,40.79,68.06,152.42,Delivered
ORD00041,CUST1684,WH007,DP057,2024-09-05,2024-09-07,2024-09-08,2024-09-08,9.2,1489.01,84.2,19.58,82.13,66.6,Delivered
ORD00042,CUST1321,WH032,DP085,2025-08-19,2025-08-21,2025-08-22,2025-08-23,28.7,4431.7,198.43,14.64,34.14,187.77,Delivered
ORD00043,CUST0928,WH010,DP069,2024-03-08,2024-03-09,2024-03-11,2024-03-11,3.3,2110.96,58.88,24.53,60.01,47.61,Delivered
ORD00044,CUST1471,WH028,DP045,2025-06-13,2025-06-15,2025-06-16,2025-06-16,18.5,2141.77,184.06,54.58,57.88,128.27,Delivered
ORD00045,CUST1983,WH036,DP007,2024-04-27,2024-04-27,2024-04-28,2024-04-29,14.3,1747.73,176.48,12.04,56.4,84.17,Delivered
ORD00046,CUST0808,WH038,DP081,2024-03-14,2024-03-15,2024-03-16,2024-03-17,13.8,561.57,130.33,25.68,44.88,106.49,Delivered
